system:index,Dec1999,Dec2000,Dec2007,Dec2008,Dec2020,Dec2021,datamask,gain,id,lat,lon,loss,lossyear,treecover2000,.geo
23413,6,6,6,6,6,6,1,0,23413,-21.78510949433276,165.82511977900847,0,,24,"{""type"":""Point"",""coordinates"":[165.82511977900847,-21.78510949433276]}"
23414,6,6,6,6,6,6,1,0,23414,-21.78483999999999,165.82511977900847,0,,45,"{""type"":""Point"",""coordinates"":[165.82511977900847,-21.78483999999999]}"
23415,6,6,6,6,6,6,1,0,23415,-21.784570505160616,165.82511977900847,1,13,28,"{""type"":""Point"",""coordinates"":[165.82511977900847,-21.784570505160612]}"
23416,6,6,6,6,6,6,1,0,23416,-21.78510949433276,165.82541,0,,16,"{""type"":""Point"",""coordinates"":[165.82541,-21.78510949433276]}"
23417,6,6,6,6,6,6,1,0,23417,-21.78483999999999,165.82541,0,,16,"{""type"":""Point"",""coordinates"":[165.82541,-21.784839999999985]}"
23418,6,6,6,6,6,6,1,0,23418,-21.448670505164912,165.27979,0,,0,"{""type"":""Point"",""coordinates"":[165.27979,-21.448670505164912]}"
23419,6,6,6,6,6,6,1,0,23419,-21.44920949433707,165.28007954754457,0,,4,"{""type"":""Point"",""coordinates"":[165.28007954754457,-21.449209494337072]}"
23420,6,6,6,6,6,6,1,0,23420,-21.448940000000007,165.28007954754457,0,,0,"{""type"":""Point"",""coordinates"":[165.28007954754457,-21.44894000000001]}"
23421,6,6,6,6,6,6,1,0,23421,-21.448670505164912,165.28007954754457,0,,0,"{""type"":""Point"",""coordinates"":[165.28007954754457,-21.448670505164912]}"
23422,6,6,6,6,6,6,1,0,23422,-21.45718949433696,165.35971043660788,0,,45,"{""type"":""Point"",""coordinates"":[165.35971043660788,-21.457189494336962]}"
23423,6,6,6,6,6,6,1,0,23423,-21.613710505162786,166.0809398767978,0,,58,"{""type"":""Point"",""coordinates"":[166.0809398767978,-21.613710505162786]}"
23424,6,6,6,6,6,6,1,0,23424,-21.45692,165.35971043660788,0,,24,"{""type"":""Point"",""coordinates"":[165.35971043660788,-21.456919999999997]}"
23425,6,6,6,6,6,6,1,0,23425,-21.4566505051648,165.35971043660788,0,,0,"{""type"":""Point"",""coordinates"":[165.35971043660788,-21.456650505164795]}"
23426,6,6,6,6,6,6,1,0,23426,-21.45718949433696,165.36,0,,45,"{""type"":""Point"",""coordinates"":[165.36,-21.45718949433696]}"
23427,6,6,6,6,6,6,1,0,23427,-21.45692,165.36,0,,16,"{""type"":""Point"",""coordinates"":[165.36,-21.456919999999997]}"
23428,6,6,6,6,6,6,1,0,23428,-21.4566505051648,165.36,0,,0,"{""type"":""Point"",""coordinates"":[165.36,-21.456650505164795]}"
23429,6,6,6,6,6,6,1,0,23429,-21.45718949433696,165.36028956339214,0,,45,"{""type"":""Point"",""coordinates"":[165.36028956339214,-21.457189494336962]}"
23430,1,1,2,2,3,3,1,0,23430,-21.45692,165.36028956339214,0,,22,"{""type"":""Point"",""coordinates"":[165.36028956339214,-21.456919999999997]}"
23431,1,1,2,2,2,2,1,0,23431,-21.4566505051648,165.36028956339214,0,,0,"{""type"":""Point"",""coordinates"":[165.36028956339214,-21.456650505164795]}"
23432,6,6,6,6,6,6,1,0,23432,-21.45997949433695,165.31889043106543,0,,39,"{""type"":""Point"",""coordinates"":[165.31889043106543,-21.459979494336945]}"
23433,6,6,6,6,6,6,1,0,23433,-21.45971,165.31889043106543,0,,45,"{""type"":""Point"",""coordinates"":[165.31889043106543,-21.45971]}"
23434,6,6,6,6,6,6,1,0,23434,-21.45944050516478,165.31889043106543,0,,37,"{""type"":""Point"",""coordinates"":[165.31889043106543,-21.45944050516478]}"
23435,6,6,6,6,6,6,1,0,23435,-21.45997949433695,165.31918,0,,37,"{""type"":""Point"",""coordinates"":[165.31918,-21.45997949433695]}"
23436,6,6,6,6,6,6,1,1,23436,-21.45971,165.31918,0,,0,"{""type"":""Point"",""coordinates"":[165.31918,-21.45971]}"
